2024-10-24T13:03:36.025309431Z I1024 13:03:36.025259       1 configmap.go:109] updating configmap openshift-cloud-controller-manager-operator/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:36.035250360Z I1024 13:03:36.035175       1 configmap.go:109] updating configmap openshift-cloud-controller-manager/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:36.047771008Z I1024 13:03:36.047070       1 configmap.go:109] updating configmap openshift-cloud-credential-operator/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:36.047771008Z I1024 13:03:36.047764       1 configmap.go:109] updating configmap openshift-cloud-network-config-controller/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:36.048295058Z I1024 13:03:36.048254       1 configmap.go:109] updating configmap openshift-cloud-platform-infra/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:36.048423507Z I1024 13:03:36.048408       1 configmap.go:109] updating configmap openshift-cluster-csi-drivers/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:36.059017456Z I1024 13:03:36.058956       1 configmap.go:109] updating configmap openshift-cluster-machine-approver/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:36.104285529Z I1024 13:03:36.104230       1 base_controller.go:73] Caches are synced for CRDCABundleInjector 
2024-10-24T13:03:36.104372129Z I1024 13:03:36.104357       1 base_controller.go:110] Starting #1 worker of CRDCABundleInjector controller ...
2024-10-24T13:03:36.104406639Z I1024 13:03:36.104394       1 base_controller.go:110] Starting #2 worker of CRDCABundleInjector controller ...
2024-10-24T13:03:36.104437899Z I1024 13:03:36.104426       1 base_controller.go:110] Starting #3 worker of CRDCABundleInjector controller ...
2024-10-24T13:03:36.104467969Z I1024 13:03:36.104456       1 base_controller.go:110] Starting #4 worker of CRDCABundleInjector controller ...
2024-10-24T13:03:36.104497719Z I1024 13:03:36.104486       1 base_controller.go:110] Starting #5 worker of CRDCABundleInjector controller ...
2024-10-24T13:03:36.104556609Z I1024 13:03:36.104542       1 crd.go:69] updating customresourcedefinition alertmanagerconfigs.monitoring.coreos.com conversion webhook config with the service signing CA bundle
2024-10-24T13:03:36.118539587Z I1024 13:03:36.118490       1 crd.go:69] updating customresourcedefinition performanceprofiles.performance.openshift.io conversion webhook config with the service signing CA bundle
2024-10-24T13:03:36.206997434Z I1024 13:03:36.206931       1 configmap.go:109] updating configmap openshift-cluster-node-tuning-operator/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:36.404440375Z I1024 13:03:36.404375       1 configmap.go:109] updating configmap openshift-cluster-samples-operator/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:36.606847005Z I1024 13:03:36.606728       1 configmap.go:109] updating configmap openshift-cluster-storage-operator/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:36.806328796Z I1024 13:03:36.806229       1 configmap.go:109] updating configmap openshift-cluster-version/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:37.002663966Z I1024 13:03:37.002570       1 configmap.go:109] updating configmap openshift-config-managed/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:37.209215306Z I1024 13:03:37.209086       1 configmap.go:109] updating configmap openshift-config-operator/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:37.405502477Z I1024 13:03:37.405418       1 configmap.go:109] updating configmap openshift-config/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:37.604470298Z I1024 13:03:37.604422       1 configmap.go:109] updating configmap openshift-controller-manager-operator/openshift-service-ca.crt with the service signing CA bundle
2024-10-24T13:03:37.805251338Z I1024 13:03:37.805174       1 configmap.go:109] updating configmap openshift-controller-manager/openshift-service-ca with the service signing CA bundle
